
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  5.63008404E-01  1.16772830E+00  9.57949228E-02  1.07124214E-03  6.55728017E-02 -4.31198465E-03  7.50869092E-03
  5.69866253E-01  1.16451342E+00  9.65592843E-02  1.06027355E-03  6.59139523E-02 -4.31945128E-03  7.56379383E-03
  5.76630724E-01  1.16130745E+00  9.73244294E-02  1.04749503E-03  6.62516266E-02 -4.32641469E-03  7.61881632E-03
  5.83303090E-01  1.15810971E+00  9.80908747E-02  1.03324644E-03  6.65850845E-02 -4.33284244E-03  7.67375600E-03
  5.89884604E-01  1.15491949E+00  9.88594026E-02  1.01795648E-03  6.69135964E-02 -4.33869614E-03  7.72859578E-03
  5.96376504E-01  1.15173619E+00  9.96307964E-02  1.00212060E-03  6.72365542E-02 -4.34393304E-03  7.78330240E-03
  6.02780010E-01  1.14855936E+00  1.00405704E-01  9.86271984E-04  6.75534775E-02 -4.34850864E-03  7.83782615E-03
  6.09096325E-01  1.14538872E+00  1.01184617E-01  9.70958848E-04  6.78639396E-02 -4.35237949E-03  7.89210215E-03
  6.15326637E-01  1.14222418E+00  1.01967898E-01  9.56730705E-04  6.81674751E-02 -4.35550543E-03  7.94605314E-03
  6.21472116E-01  1.13906570E+00  1.02755835E-01  9.44127932E-04  6.84635420E-02 -4.35785067E-03  7.99959319E-03
  6.27533918E-01  1.13591325E+00  1.03548731E-01  9.33661204E-04  6.87515734E-02 -4.35938358E-03  8.05263177E-03
  6.33513182E-01  1.13276673E+00  1.04346989E-01  9.25766901E-04  6.90310912E-02 -4.36007529E-03  8.10507809E-03
  6.39411032E-01  1.12962593E+00  1.05151166E-01  9.20737568E-04  6.93018137E-02 -4.35989755E-03  8.15684574E-03
  6.45228577E-01  1.12649044E+00  1.05961968E-01  9.18648077E-04  6.95637078E-02 -4.35882023E-03  8.20785643E-03
  6.50966909E-01  1.12335965E+00  1.06780185E-01  9.19313080E-04  6.98169779E-02 -4.35680913E-03  8.25804229E-03
  6.56627108E-01  1.12023274E+00  1.07606589E-01  9.22303353E-04  7.00620073E-02 -4.35382460E-03  8.30734697E-03
  6.62210237E-01  1.11710867E+00  1.08441859E-01  9.27020027E-04  7.02992785E-02 -4.34982124E-03  8.35572586E-03
  6.67717346E-01  1.11398619E+00  1.09286561E-01  9.32798311E-04  7.05292953E-02 -4.34474884E-03  8.40314602E-03
  6.73149469E-01  1.11086396E+00  1.10141192E-01  9.39003606E-04  7.07525179E-02 -4.33855427E-03  8.44958592E-03
  6.78507629E-01  1.10774052E+00  1.11006279E-01  9.45092979E-04  7.09693111E-02 -4.33118371E-03  8.49503445E-03
  6.83792831E-01  1.10461433E+00  1.11882478E-01  9.50635560E-04  7.11799091E-02 -4.32258491E-03  8.53948937E-03
  6.89006070E-01  1.10148385E+00  1.12770610E-01  9.55304483E-04  7.13843934E-02 -4.31270900E-03  8.58295543E-03
  6.94148324E-01  1.09834746E+00  1.13671647E-01  9.58859399E-04  7.15826784E-02 -4.30151170E-03  8.62544215E-03
  6.99220562E-01  1.09520354E+00  1.14586648E-01  9.61130770E-04  7.17745105E-02 -4.28895365E-03  8.66696113E-03
  7.04223735E-01  1.09205044E+00  1.15516674E-01  9.62005402E-04  7.19594924E-02 -4.27499974E-03  8.70752251E-03
  7.09158785E-01  1.08888656E+00  1.16462672E-01  9.61409110E-04  7.21371306E-02 -4.25961796E-03  8.74713158E-03
  7.14026639E-01  1.08571035E+00  1.17425350E-01  9.59288776E-04  7.23068873E-02 -4.24277817E-03  8.78578644E-03
